,country,description,points,price,variety,winery,Colour,Color,RW
16,US,"This is a new brand from Jess Jackson. The wine is quite interesting—absolutely dry, very tannic, acidic and austere, with a bitterness to the cherryskin flavors. Yet it possesses polish and elegance. Work is needed, but this is a Merlot to watch.",88,35.0,Merlot,Pelton House,Red,1.0,0.0
17,Spain,"On the money right from the start, where deep aromas of black fruits, minerality and fresh herbs mingle nicely. The palate is creamy and smooth, with rich, almost syrupy berry, cream, coffee and toffee flavors. Oaked up but not “oaky,” with caramel and chocolate on the smooth finish. Drink now through 2015.",92,58.0,Red Blend,Torres,Red,1.0,0.0
18,US,"Benziger pulls out all the stops on this estate, Cabernet-based Bordeaux blend, from their hilly vineyard above Glen Ellen. It's a beautiful effort. The flavors are very close to Napa Cab, namely deliciously sweet cassis, roasted coffee and cocoa, but there's a tannin and acid structure that in some respects outclasses even Napa's most prestigious chateaus. This is a great red wine.",94,65.0,Cabernet Blend,Benziger,Red,1.0,0.0
19,Chile,"Dark up front, with aromas of charcoal and crusty black fruits. Feels full but creamy, with black fruit flavors and oak-driven accents of butter and mocha. Warm and full, with licorice and dark berry flavors accenting a healthy feeling finish. Good Syrah for everyday drinking.",87,13.0,Syrah,Chilcas,Red,1.0,0.0
20,US,"This bottling comes off a select corner of the Talley family ranch and is quite shy on the nose at first, reluctantly offering beet, cranberry, and cooked strawberry aromas, with the slightest touch of caramelization and loam. The flavors tend toward bramble, with wild thyme, white pepper and oregano, starting off simple but growing persistent and beautiful as the wine opens.",92,64.0,Pinot Noir,Talley,Red,1.0,0.0
21,US,"Marred by unripe asparagus notes, this Syrah is tough to like despite its smooth tannins and some good blackberry and chocolate fruit.",82,25.0,Syrah,Firestone,Red,1.0,0.0
22,US,"Plenty of ripe, forward fruit here: It brims with cherries, blackberries and plums. Shows its Alexander Valley origin in the softness and herbaceousness that accompany the fruit. Drink up.",88,30.0,Cabernet Sauvignon,Louis M. Martini,Red,1.0,0.0
23,US,"From one of Livermore's oldest producers, a small-production Petite Sirah, one of their specialties, all from an estate vineyard planted 40 years ago, this wine is super dark purple in color, very earthy, with nice chocolate and delicate fruit interspersed among the dusty tannins. Pretty and interesting.",87,25.0,Petite Sirah,Concannon,Red,1.0,0.0
24,US,"Swanson has a great track record with this wine, which is always in need of time on release. The 2005 shows classic Napa structure, with hard but near-perfect tannins and lush, oak-sweetened black currant, cherry and dark chocolate flavors. Brilliant, but will benefit from a good three or four years in the cellar. Should evolve well beyond 2012.",92,75.0,Cabernet Sauvignon,Swanson,Red,1.0,0.0
25,Portugal,"This wine is just starting out. With its initially austere structure and firm tannins, the juicy fruitiness and mineral character are still waiting to emerge. It will be a serious and structured wine in the next few years, evoking the granite of the Douro. Drink from 2016.",91,16.0,Portuguese Red,José Maria da Fonseca,Red,1.0,0.0
26,France,"The small enclave of Buzet makes wines in a Bordeaux style, with black currant fruitiness and some firm tannins. This wine, now aging well, shows ripe juicy fruits, a solid dry core and refreshing, crisp acidity at the end.",88,20.0,Red Blend,Georges Vigouroux,Red,1.0,0.0
27,US,"A little sharp, with a sting throughout, but otherwise a fine, classic Cabernet brimming with flavor. Shows upfront blackberries, currants, chocolate-covered cherries, smoky vanilla and toast, wrapped into smooth, sturdy tannins. Could mellow and soften in the next several years.",88,33.0,Cabernet Sauvignon,Bardessono,Red,1.0,0.0
28,Austria,"An easy blend of Cabernet Sauvignon and Merlot, with fresh acidity and soft tannins. Flavors of red plums and black currants dominate, with a light hint of spice to finish.",85,8.0,Cabernet Sauvignon-Merlot,Lenz Moser,Red,1.0,0.0
29,Italy,"This blend of 50% Merlot, 40% Cabernet Sauvignon and 10% Cabernet Franc opens with aromas of cherries, berries, blue flower, sun-baked earth and a hint of balsamic herbs. The ripe palate delivers fleshy black cherry, milk chocolate, espresso and black pepper alongside chewy tannins.",90,30.0,Red Blend,Ceralti,Red,1.0,0.0
30,Australia,"This is one pure, pretty, sturdy Cab. On the palate, black plum and berry fruit is front and center, with oak and caramel most evident on the finish and on the nose. Go ahead, show your guests some love and pour them something that won't overwhelm dinner.",89,30.0,Cabernet Sauvignon,Vasse Felix,Red,1.0,0.0
31,US,"QED stands for Quod Erat Demonstrandum (what was to be shown). A further motto on the label reads “the proof is in the bottle.” This is supple, almost voluptuous, dark, sappy, packed with compressed black fruits, streaked with iodine and coffee. It shows excellent length and opens with scents hinting of game, earth, sweet mocha, lead pencil and cedar. Complex and intriguing, with six or eight year aging potential. A very impressive debut.",94,50.0,Syrah,Rasa,Red,1.0,0.0
32,Portugal,"A powerful expression of Portuguese varieties, with dense tannins, dark fruit flavors and ripeness. If the alcohol is too high—and it shows in the pepper edge to the wine—it still has a sense of shape and structure.",88,18.0,Portuguese Red,Quinta de Chocapalha,Red,1.0,0.0
33,US,"A terrific vintage for the Freedom Hill bottling, the 2008 displays a firm, concentrated core of cranberry, raspberry and pie-cherry fruit flavors. Wrapped in plenty of toasty new oak, the wine is powerful and mouth-coating, balanced with juicy acidity, and rolls on through a lengthy, satisfying finish.",92,40.0,Pinot Noir,Panther Creek,Red,1.0,0.0
34,US,"A lush, forward Zin whose fruity sweetness is accentuated by pairing with soft cheeses. Dry and soft, it offers flavors of briary forest berries, anise, black pepper and smoky sandalwood. A fine evocation of a cool-climate Zinfandel, although the alcohol is quite high. Drink now.",87,28.0,Zinfandel,Dogwood,Red,1.0,0.0
35,Argentina,"A grassy, herbal element is up front on the nose of this Amarone-style blend done in conjunction with Allegrini of the the Veneto (Italy). In the mouth, it's round as a ball, with syrupy richness. Ripe sticky berry and plum flavors finish chewy with residual stickiness.",87,27.0,Red Blend,Bodega Renacer,Red,1.0,0.0
36,US,"This Merlot is as pale as a Pinot Noir, which suggests how light bodied it is. It's silky and dry in the mouth, with pleasant cherry, cola and sandalwood flavors.",84,12.0,Merlot,Montoya,Red,1.0,0.0
37,Chile,"Huge in color and body, with thickness and long legs. The nose has a minty green core that's surrounded by cassis, while the palate is extracted, round and tastes of bouncy young red fruits and boysenberry. Grippy and a little high in acid given the wine's full body and extract level.",87,24.0,Cabernet Sauvignon,Santa Ema,Red,1.0,0.0
38,France,"Owned by the Thomas family, this wine has an unusual blend of 50% Merlot and 35% Petit Verdot (with the rest Cabernet Sauvignon). It shows how Petit Verdot can now ripen easily in warm years. The dark color and dense tannins are a counterpoint to the juicy blackberry fruit. They will allow this wine to age well. Drink from 2021.",91,29.0,Bordeaux-style Red Blend,Château Reverdi,Red,1.0,0.0
39,US,"Peppery and sandpapery, almost like Zinfandel, with briary blackberry flavors. Not especially complicated, but it's dry and clean, and a decent full-bodied red for ordinary occasions.",86,14.0,Merlot,Concannon,Red,1.0,0.0
40,New Zealand,"Hints of bay leaf and wild thyme provide complexity and lift to this dark-fruited, full-bodied wine. Black cherry, cola and mocha notes carry the midpalate, then finish with a velvety texture. Drink now–2018.",91,33.0,Pinot Noir,Kim Crawford,Red,1.0,0.0
41,US,"Quite an impressive wine, especially from this prestigious appellation at this price. Dry and full-bodied, it shows black cherry candy, currant, herb, anise and cedar flavors, wrapped into finely ground, dusty tannins. Fine now, and could even develop bottle complexity over the next 2-4 years.",89,22.0,Cabernet Sauvignon,Cameron Hughes,Red,1.0,0.0
42,US,"At 15.9% abv, this is a monster by Finger Lakes standards, but it's unsurprising perhaps for such a hot vintage. A tad jammy on the palate, it's sweet with red cherry fruit that's framed by herbaceous green notes and layers of soft, furry tannins.",86,30.0,Cabernet Franc,Lakewood,Red,1.0,0.0
43,US,"This aging Merlot is already showing mature flavors; the fruit is dropping away and leaving rather astringent tannins. Right now you've got a mix of plum, blueberry and cherry fruit, softened up but still present, so it's time to drink it up.",85,20.0,Merlot,Wineglass Cellars,Red,1.0,0.0
44,US,"Big, rich, jammy Shiraz, soft and sweet in blackberry and cherry jam, cola, caramelized wood and bacon flavors. This lusty red wine will be a good companion to barbecue.",85,30.0,Shiraz,Wattle Creek,Red,1.0,0.0
45,Chile,"One of the best Santa Carolina wines in years. The nose is big and floral, with tons of plum and berry. The mouth is packed tight and tastes great, with ripe cassis and a lot of chocolate to back things up. Finishes chewy and broad, with mocha and vanilla accents, yet there's still enough acidity to keep things moving. Very nice wine for the money.",90,15.0,Cabernet Sauvignon,Santa Carolina,Red,1.0,0.0
46,Argentina,"Bold berry aromas turn a little sweet and simple with airing, while the palate deals plum and berry flavors on a tight, tannic frame. Bright and colorful but fairly rough and basic in what it has to offer.",83,8.0,Merlot,Telteca,Red,1.0,0.0
47,France,"Normally one of the most elegant of Pauillacs, the 2003 is big and dense. These dark tannins mask delicious black fruit, flavors of spice and layers of acidity. This is going to develop relatively fast, despite the density of the wine, just because it is so rich. Imported by Diageo Chateau & Estates.",94,142.0,Bordeaux-style Red Blend,Château Pichon Longueville Comtesse de Lalande,Red,1.0,0.0
48,France,"This generous and full-bodied wine is full of juicy red berry fruits, ripe tannins and just enough structure to support its opulent character. Wood aging gives a fine-grained texture that will allow it to age. Drink from 2016.",89,25.0,Bordeaux-style Red Blend,Château la Chapelle aux Moines,Red,1.0,0.0
49,US,"Whiffs of mushroom and autumn leaf add complexity to this Pinot Noir's dried cherry, strawberry and violet aromas. The palate boasts an ample black-cherry flavor and delicate tannins that linger on the finish, melding into a dark chocolate and graphite-tinged note.",87,15.0,Pinot Noir,Casa Larga,Red,1.0,0.0
50,France,"A wine that shows rich blackberry fruits, already rounded and soft. It has a tannic structure that is embedded in the fruit, along with spice, toast and a firm finish. An ageworthy wine.",90,20.0,Bordeaux-style Red Blend,Château Liversan,Red,1.0,0.0
51,US,A very minty old vine Zin from organically farmed grapes that tastes of not-quite-ripe strawberry jam and is otherwise smooth and peppery.,84,24.0,Zinfandel,McFadden,Red,1.0,0.0
52,Italy,"Harmonium is a gorgeous, opulent wine with a generous bouquet that is packed tight with blackberry, cherry liqueur, dark mocha, toasted vanilla bean and bright touches of black licorice. It's a very pleasurable and elaborate interpretation of Sicily's number one indigenous grape.",91,40.0,Nero d'Avola,Firriato,Red,1.0,0.0
53,US,"Richness alone would earn this Zinfandel a good score, but the overall balance uplifts it. It's simply delicious in wild berry, spice, mocha, salty bacon, vanilla toast and sandalwood flavors. Yet the tannins are fine, and the acidity is perfect. Even the slightly sweet finish and high alcohol work.",90,34.0,Zinfandel,Wilson,Red,1.0,0.0
54,US,"Ripe and sweet in cherry, chocolate and oak flavors, this Cabernet scores high in sheer deliciousness. It's a bit simple in structure, though, and unlikely to age, so drink up.",87,95.0,Cabernet Sauvignon,Bello Family Vineyards,Red,1.0,0.0
55,France,"This ripe, sweet-fruited wine is soft and quite mature. Red fruits have developed into a smooth and round texture with a delicate mushroom character. Drink now.",89,54.0,Pinot Noir,Hugel,Red,1.0,0.0
56,France,"A blend of 90% Grenache and 10% Syrah, all from vines averaging 80 years of age, this is a stupendously concentrated wine that still possesses nuance and complexity. Exotic spices—notably lavender and clove—scent the bouquet, while the huge palate boasts layers of plum fruit and thick, velvety tannins. Drinkable now, but probably at its best after 2012.",92,40.0,Rhône-style Red Blend,Château de Saint-Cosme,Red,1.0,0.0
57,US,"Polished cherry, blackberry and coffee fruit flavors comprise this Merlot. It's bone dry, with rich tannins and a smattering of oak. Has a jagged quality that's not likely to age out, but it's a pretty good wine.",85,15.0,Merlot,Jekel,Red,1.0,0.0
58,Australia,"Intensely toasty on the nose, along with powerful menthol notes that persist from start to finish. This full-bodied, almost syrupy-concentrated Shiraz features plums and blackberries that take on a slightly medicinal cast, finishing on a fresh, resiny note. Try after 2016.",89,175.0,Shiraz,Jim Barry,Red,1.0,0.0
59,Australia,"Has roasted, ripe flavors of prune or date, plus a hint of volatility on the nose. Has a dusty feel on the palate, with coffee, leather and blackberry flavors taking center stage. Finishes narrow and a little tart. Imported by The Country Vintner.",87,18.0,Bordeaux-style Red Blend,Picardy,Red,1.0,0.0
60,US,"Lush and fragrant, and happily and distinctively not tasting like a Washington Cabernet or Merlot, this is a bowl of rose petals and ripe cherries. Strong acids, earthy tannins, slivers of chocolate and a finish of espresso all combine into a lovely and lasting set of flavors. 100% varietal, aged in neutral barrels.",88,28.0,Sangiovese,Andrew Will,Red,1.0,0.0
61,US,"Just barely drinkable, with sweet and sour raspberry fruit sauce flavors.",80,13.0,Cabernet Sauvignon,Fair Hare,Red,1.0,0.0
62,US,"The Les Collines vineyard provided the fruit; it brings Walla Walla Valley strawberry preserves and some sharp acids, but feels a bit thin and sharp in the midpalate. As the wine expands in the mouth raspberries and chocolate take over, still with plenty of acid showing. A little pickley in the finish.",85,28.0,Cabernet Sauvignon,Holmes Harbor Cellars,Red,1.0,0.0
63,Italy,"Aromas suggest oak, vanilla, plum, espresso and coconut. The tightly wound palate isn't very expressive but offers dried black fruit, roasted coffee bean and clove alongside raspy tannins, with the heat of alcohol on the close.",87,60.0,Sangiovese,Ferrero,Red,1.0,0.0
64,US,"Mostly Cabernet Sauvignon this wine also has small percentages of Malbec, Petite Sirah, Tannat and Petit Verdot thrown into the mix. The result is a smoky, barrel-influenced concoction emphasizing burly, tannic black- currant fruit.",84,15.0,Cabernet Sauvignon,James Mitchell,Red,1.0,0.0
65,Italy,"A dark, fully oaked, flavorful wine with aromas of blackberry, molasses, coffee and smoke. Rich and woody on the palate, with black cherry, cedar and vanilla. Runs a little sweet and soft, with noticeably soft tannins and modest acidity. Drink now for maximum pleasure.",90,35.0,Sangiovese,Panzanello,Red,1.0,0.0
66,Italy,"Kendall-Jackson's super Tuscan is Cab-based and very ripe. It's black as coal, with leather, earth and dark-fruit aromas. It's more soft than steely, with blackberry and plum flavors softened by molasses and licorice. A real beast of a wine that includes 15% Merlot and Syrah.",88,100.0,Red Blend,Tenuta di Arceno,Red,1.0,0.0
67,US,"Nice and smooth, this Merlot is for early drinking. It's as plump as can be in cherries, cocoa, cola and tobacco, with soft acids and even softer tannins.",85,23.0,Merlot,Simi,Red,1.0,0.0
68,US,"This Merlot is 100% varietal, a blend of Horse Heaven Hills, Yakima Valley and Walla Walla Valley fruit. A hint of leather is wrapped into tight, lightly smoky red fruit. Red licorice and a streak of iron ore can also be detected; it is unusually tight and muscular for Merlot.",87,35.0,Merlot,Cadaretta,Red,1.0,0.0
69,US,"Tough in the mouth, with green, minty tannins framing jellied flavors of blackberries and cherries. Okay for fast foods and such.",82,10.0,Cabernet Sauvignon,Grayson,Red,1.0,0.0
70,Italy,"This is made with Sangiovese, Cab Franc and Cab Sauvignon (from 80-year-old vines). The results are a wine with renderings of dried herbs and grass backed by prune, exotic spice and nicely etched oak tones. The mouthfeel is lean without being hollow and offers bright spice on the finish.",93,48.0,Red Blend,Podere L'Aione,Red,1.0,0.0
71,US,"Fascinating; this was co-fermented with 7% whole cluster Roussanne, then blended with another 4% Viognier. Inky, vivid, saturated and loaded with appealing scents of meat, smoke, cedar, pencil shavings, blackberry, black cherry and much more, this is Washington's answer to Barossa Shiraz. Yet the alcohol remains a sensible 14.3%, and the wine has impeccable balance.",92,35.0,Syrah,Alexandria Nicole,Red,1.0,0.0
72,US,"Light bodied, tart and elegant, this is fine to drink now with tuna or steak tartare. It's bone dry, sleek and brisk in acidity, with Dr. Pepper and red licorice flavors leading to a complex, spicy finish.",89,40.0,Pinot Noir,Schug,Red,1.0,0.0
73,US,"Simple, soft and intensely fruity, this Cab is bursting with the ripest red cherry, tobacco, cocoa, spice and smoke flavors. It's easy to imagine sipping this with grilled meats and poultry.",84,18.0,Cabernet Sauvignon,Robert Hall,Red,1.0,0.0
74,US,"Scents of old coffee, cherry and caramel follow through on the palate, with a soapy hint that adds a slightly bitter element This is a medium-bodied, no-frills wine that should pair just fine with a grilled pork chop.",83,18.0,Barbera,Adirondack Winery,Red,1.0,0.0
75,Argentina,"Sweet and rooty on the nose, with hints of cola and earth. This is a solid red wine, with plum, berry and some mild astringency to the palate. Finishes a bit tart but still makes it to the quality level. Likely better with food than by itself.",85,18.0,Merlot,Felipe Rutini,Red,1.0,0.0
76,Spain,"A perennial Best Buy, Sangre de Toro always delivers a quality red-wine experience that does not bowl you over. Here the aromas are light and jammy, with strawberry. The body is medium in weight and intensity, with pure but basic cherry, raspberry and plum flavors. Like all other parts of the wine, the finish is easy and clean, with carry-over flavors of berry fruit.",86,10.0,Red Blend,Torres,Red,1.0,0.0
77,US,"Smoked beef, tart cherries and dark berries show on the inviting nose of this hearty bottling from winemaker Paul Clifton. The palate is both heavy duty and elegant, with blackberry and black-cherry fruit resting on a spicy backbone of ginger, clove, bay leaf and aromatic chocolate, leaving the tongue singing for quite a while.",93,50.0,Pinot Noir,Lucienne,Red,1.0,0.0
78,Argentina,"Some dry oak and smoke frames simple earth and berry aromas, but the mouth is condensed and flat. There isn't much bounce to this overripe red; it's heavy and seems to have caught a lot of sun in the vineyard.",83,9.0,Malbec,Las Moras,Red,1.0,0.0
79,US,"Rugged in the mouth, with edgy tannins, this Merlot also features ripe berry-cherry fruit that seems a little sweet. Ready to drink now.",86,35.0,Merlot,Amizetta,Red,1.0,0.0
80,Italy,"This has aromas of ripe—just shy of overripe—black fruit that recall plum preserves. The palate is rich, with flavors of mature black cherry, prune and chocolate bar. This lacks complexity and restraint, but is big, lush and decadent.",87,142.0,Red Blend,Le Salette,Red,1.0,0.0
81,Italy,"Scorched earth, cured meat, toasted nut and grilled herb aromas lead the nose on this full-bodied red. The warm, ripe palate doles out raspberry jam, mature black cherry, vanilla and star anise framed in firm, velvety tannins.",90,60.0,Sangiovese,Carpineto,Red,1.0,0.0
82,Spain,"Meaty leathery blackberry aromas are less dressed up and polished than in past vintages. This Mencía feels jammy, wide and chunky, while flavors of spicy blackberry are limited. A toasty oaky lightly charred finish closes out this full-bodied offering from a tough cool year.",89,20.0,Mencía,Losada,Red,1.0,0.0
83,France,There is a rosé here struggling to get out. This wine has strawberry fruits combined with tannins in a way that does not work. Bordeaux Clairet lies between rosé and red in color and in taste.,83,14.0,Bordeaux-style Red Blend,Château de Marsan,Red,1.0,0.0
84,US,"A soft, basic Cabernet, it offers meaty cinnamon and berry-plum flavors.",84,13.0,Cabernet Sauvignon,Cable Car,Red,1.0,0.0
85,US,"Made in a lighter, silkier, more accessible style, this is an elegant Pinot Noir that suggests lamb, roast salmon and other upscale dishes. It's easy to drink, but also complex, with intricately layered flavors of cherries, raspberries, red currants, licorice, sassafras, sweet smoky cedar and Asian spices.",93,40.0,Pinot Noir,WesMar,Red,1.0,0.0
86,US,"A stellar bottle from this newish Lake County-based producer, a Demeter Biodynamic and CCOF Organic certified producer with mountain-top vineyard land in the prime Red Hills sub-AVA. The Cab grows at 1,800-2,200 feet elevation in rocky, red soil, yielding a classically rich, red wine nuanced with subtle, soft tannins and enviable structure, giving it room to grow another 5–7 years.",90,65.0,Cabernet Sauvignon,Hawk and Horse Vineyards,Red,1.0,0.0
87,US,"This has acidity and tannins that are rich and complex. The raspberry, cola and licorice flavors have a nice coating of smoky oak.",88,35.0,Pinot Noir,The Gardener,Red,1.0,0.0
88,Portugal,"A beautifully shaped and structured wine. Its polished wood shines through the black plums, figs and dark chocolate flavors. It's a wine with a velvet texture, hiding sweet tannins and pushing the ripe fruit forward. For aging, 4–5 years, but already very drinkable.",94,40.0,Portuguese Red,José Maria da Fonseca,Red,1.0,0.0
89,Argentina,"Opens with sharpness along with red-fruit notes and a hint of vinegar. The palate holds onto that acid-driven feel, and there's saucy, herbal berry and cherry flavors. Finishes on the shallow side, with a pinch of bitterness.",84,13.0,Malbec,Alberti 154,Red,1.0,0.0
90,US,"A beautiful Zin, made from old vines grown on the superior western side of the valley. While the wine lacks a bit of the concentration of the sensational 2005, it's softly lush and delicious, with an array of wild berry, chocolate and black pepper flavors. Drink now.",90,34.0,Zinfandel,Dry Creek Vineyard,Red,1.0,0.0
91,Portugal,"A very dry wine, firmly tannic and feeling overextracted. It is hard and unlikely to yield much fruit.",83,8.0,Portuguese Red,Cooperativa Reguengos de Monsaraz,Red,1.0,0.0
92,Italy,"Floral and black fruit aromas are punctuated by spicy notes on the nose of this wine. The delicious palate delivers juicy black-cherry, white pepper, mint and sage along with big but ripe tannins and edgy acidity. Give it a few more years to fully develop. Drink 2015–2020.",93,25.0,Red Blend,Istine,Red,1.0,0.0
93,US,"This little-sung (outside of Washington) winery makes an eagerly-awaited rosé of cabernet franc each spring, but here is the real deal. One hundred percent varietal, it puts the lie to the notion that cabernet franc must be tannic and tough. Here it is fragrant, firm and tart, with spicy apple, plum, date, fig and even golden raisin flavors. Interested, complex and beautifully crafted, without obvious oak and just 13 percent alcohol.",89,20.0,Cabernet Franc,Chinook,Red,1.0,0.0
94,US,"Aromas of freshly laid asphalt and boysenberry are of medium intensity, before turning chocolaty and toasty on the palate. There's plenty of acidity that gives the mouthfeel cut and drive, with modest tannins adding furry grip to the finish.",84,25.0,Bordeaux-style Red Blend,Pearmund,Red,1.0,0.0
95,US,"Young, fairly tough in tannins, and with a sappy, grapy taste, this is a wine that badly needs time in the bottle, as do most S&B; Pinots. It shows primary fruit flavors of cherries and blackberries, offset by crisp acidity despite full malolactic fermentation. Should begin to come into its own by 2008, improving through 2012 and holding for years afterward.",91,48.0,Pinot Noir,Sanford,Red,1.0,0.0
96,Chile,"Opens slightly muddled and murky, but then it spreads out toward earthy and mossy. The palate has a lean, dry feel along with simple berry and plum flavors. Finishes with a spicy aftertaste and it improves with time in the glass.",85,11.0,Pinot Noir,La Playa,Red,1.0,0.0
97,US,"So sweet and strong in jammy blackberry fruit, this young Cabernet is hardly drinkable now. The vineyard is in the Oak Knoll District, and the wine shows the big tannins and fine acidity of this cooler part of Napa Valley. An obvious cellar candidate, it needs 6–8 years of bottle age to begin to mellow.",93,68.0,Cabernet Sauvignon,Ideology Cellars,Red,1.0,0.0
98,US,"This is a classic California interpretation of a southern Rhône-style blend. It's a good wine, smooth and pleasant if not particularly complex, offering rich flavors of cherry, cherry liqueur, cola, mocha, bacon and white pepper. Drink now.",89,42.0,G-S-M,Zaca Mesa,Red,1.0,0.0
99,Romania,"This young Cabernet has aromas of black plum, vanilla and a big bowl of freshly picked blackberries. There are flavors of black fruits and freshly ground black pepper in the midpalate, with good acidity on the finish.",85,7.0,Cabernet Sauvignon,Cramele Recas,Red,1.0,0.0
100,France,"This firm's top Crozes-Hermitage cuvée is the Domaine Raymond Roure, which sees plenty of new wood in its upbringing, to judge from its somewhat coarse vanilla and cedar notes. There is plenty of blackberry fruit lurking beneath, so hopefully this will come together in time. Try after 2010.",89,44.0,Syrah,Paul Jaboulet Aîné,Red,1.0,0.0
101,US,"Aromatically a bit dull, this blend of 54% Syrah, 25% Cinsault, 11% Mourvèdre and 10% Grenache is structured, dense and lush, tasting of tar and black fruit.",85,28.0,Rhône-style Red Blend,Leonesse Cellars,Red,1.0,0.0
102,US,"Palmaz has struggled to break into the top ranks, and this 2006 does not advance their cause. It smells funky and vegetal, although it turns fairly rich in the mouth, with cherries, red licorice, cocoa and cedar. Doesn't seem likely to improve over time.",86,100.0,Cabernet Sauvignon,Palmaz,Red,1.0,0.0
103,US,"Tight and quite dry, this mixes dried herbs with wild blackberry and boysenberry fruit flavors. The ample acidity underscores just-ripe-enough tannins; but overall what most impresses is the wine's balance, tension and length.",90,26.0,Cabernet Sauvignon,Novelty Hill,Red,1.0,0.0
104,US,"Soft aromas of blackberry lead on this sweet “black” dessert wine from New Mexico, but on the palate, its hearty tannins need tempering by rounder fruit. There's a bitter edge to the wine when it should be luscious and sweet. Paired with desserts, it may fare better.",81,15.0,Dolcetto,Vivác Winery,Red,1.0,0.0
